MNDR ID	ncRNA Symbol	ncRNA Category	Species	Disease	DO ID	MeSH ID	References	Score
MNDR-E-CIRC-1846	hsa_circ_0054221	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1847	hsa_circ_0054225	circRNA	Homo sapiens	Bladder cancer	DOID:11054	D001749	31228937	1
MNDR-E-CIRC-1848	hsa_circ_0054225	circRNA	Homo sapiens	Heart disease	DOID:114	D006331	29523209	0.999986
MNDR-E-CIRC-1849	hsa_circ_0054225	circRNA	Homo sapiens	Cardiovascular disease	DOID:1287	D002318	28676412	0.999687
MNDR-E-CIRC-1849	hsa_circ_0054225	circRNA	Homo sapiens	Cardiovascular disease	DOID:1287	D002318	28676412	0.999687
MNDR-E-CIRC-1850	hsa_circ_0054345	circRNA	Homo sapiens	Radiation-induced liver fibrosis		D008103	28774651	0.99029
MNDR-E-CIRC-1851	hsa_circ_0054435	circRNA	Homo sapiens	Liver cirrhosis	DOID:5082	D008103	29789629	0.888683
MNDR-E-CIRC-1852	hsa_circ_0054435	circRNA	Homo sapiens	High grade dysplastic nodule			29789629	0.888683
MNDR-E-CIRC-1853	hsa_circ_0054482	circRNA	Homo sapiens	Liver cancer	DOID:3571	D008113	32222024	0.795006
MNDR-E-CIRC-1854	hsa_circ_0054537	circRNA	Homo sapiens	Coronary artery disease	DOID:3393	D003324	28947970	0.795006
MNDR-E-CIRC-1855	hsa_circ_0054564	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1856	hsa_circ_0054582	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1857	hsa_circ_0054633	circRNA	Homo sapiens	Diabetes mellitus type 2	DOID:9352	D003924	27878383	0.795006
MNDR-E-CIRC-1858	hsa_circ_0054995	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1859	hsa_circ_0055011	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1860	hsa_circ_0055014	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1861	hsa_circ_0055015	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1862	hsa_circ_0055016	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1863	hsa_circ_0055017	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1864	hsa_circ_005525	circRNA	Homo sapiens	Thoracic aortic dissection	DOID:14004	D017545	29137225	0.888683
MNDR-E-CIRC-1865	hsa_circ_0055279	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	31841184	0.999424
MNDR-E-CIRC-1866	hsa_circ_0055387	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1867	hsa_circ_0055388	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1868	hsa_circ_0055389	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
